"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-38.8976689311731,-13.0991450750088,35.5269369531939
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-46.9632245074974,-28.9318576813043,39.9676627979984
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",49.5298648210043,-52.6000057159483,29.1720284438922
"Left_Lateral_11-Tip_of_the_jugular_process",64.7798262702216,-47.5366725453814,40.6078752051316
"Left_Lateral_14-Tip_of_the_postmandibular_process",-1.69593660322901,-36.5850090114832,17.8516431148249
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-42.3875126554792,-30.8299694233744,35.8081715391542
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-35.8221485626187,-34.2769308747248,37.3171018678979
"Left_Lateral_4-Posterior_end_of_molar_row",1.72569687171649,-38.3783510873528,41.8469354509332
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-15.8128347424446,-36.9916387962372,29.4531780450922
"Left_Lateral_6-Tip_of_the_postorbital_process",0.940214437706121,-21.8497420702829,18.0717900372886
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.8992626519849,-28.6834366282065,38.5954949538817
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",30.7079551776493,-52.6626214624955,30.0950036538748
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",35.4254053069307,-41.9243550130952,48.7263087254728
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-46.2784760520384,-19.9926200985938,50.1343799489286
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",51.8667912933635,-17.2524179323501,68.7515135303361
"Right_Lateral_11-Tip_of_the_jugular_process",66.5004050360363,-28.3340159268109,63.3343986761617
"Right_Lateral_14-Tip_of_the_postmandibular_process",4.88660971713397,-4.06340169794257,55.7184812179593
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-40.7041912557794,-15.6317752983272,52.1038763583788
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-34.150562861658,-17.5893361122184,55.3851754926835
"Right_Lateral_4-Posterior_end_of_molar_row",2.04687808288722,-24.7437031395604,57.3231491380295
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-14.0607111224792,-11.2447153950063,57.6179207656183
"Right_Lateral_6-Tip_of_the_postorbital_process",3.57928947244267,-2.19256050069982,41.2002511079747
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",16.5452178901028,-23.1446851963171,47.1592764547346
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",32.7903674204189,-16.3254926396842,69.622521559365
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",35.7264069494079,-35.1493319846214,59.039208557948
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-46.4153127853177,-27.4878835296669,48.9028866148782
"Ventral_10-Posterior_edge_of_the_jugular_foramen",64.0731438559719,-30.6552928446621,56.0805920539115
"Ventral_12-Anterior_point_of_the_foramen_magnum",68.3645363896098,-38.2805550696496,51.1554477704169
"Ventral_13-Posterior_point_of_incisive_foramen",-39.2786833982771,-27.665483814607,44.9715752718939
"Ventral_14-Anterior_edge_of_P4",-18.2549940167854,-42.4877984486464,42.1930095095033
"Ventral_15-Posterior_edge_of_P4",-6.13362344577673,-47.456314585248,39.6282589745154
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",2.88152585189387,-40.5216907678126,41.1285070484827
"Ventral_18-Tip_of_ventral_squamosal_projection",35.2407427404851,-48.5251335006498,41.2011986587473
"Ventral_19-Anterior_point_of_external_auditory_meatus",44.2281943867734,-50.3515339257716,32.6654333679392
"Ventral_2-Posterior_point_of_incisive_foramen",-38.889625040336,-24.7497312575874,48.8366411887866
"Ventral_20-Posterior_edge_of_the_jugular_foramen",63.6197232779217,-42.3896756441479,43.3691918143516
"Ventral_3-Anterior_edge_of_P4",-17.5797184277001,-25.0884610284091,62.7165398671783
"Ventral_4-Posterior_edge_of_P4",-5.09660889305968,-24.0458376859291,66.7243985847836
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",3.56867914090789,-25.4810640180794,58.6450571564311
"Ventral_6-Posterior_junction_of_left_and_right_palatine",20.012200389001,-34.1017251854538,50.1490385463851
"Ventral_8-Tip_of_ventral_squamosal_projection",36.8343630368948,-27.7503384570468,64.4551713917704
"Ventral_9-Anterior_point_of_external_auditory_meatus",45.5820176472328,-20.154255149006,67.2724798461948
