"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-29.5520678619833,-17.4219568208281,37.8884544971406
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-37.3956769854411,-29.1020419431434,41.0844928154209
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",40.3144607014645,-48.554721513875,33.2531410641439
"Left_Lateral_11-Tip_of_the_jugular_process",56.0825787427141,-45.7220063359307,40.7247718335675
"Left_Lateral_14-Tip_of_the_postmandibular_process",3.47869304163631,-35.9025155095173,22.7621734639114
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-33.5869580611696,-32.3564321764472,37.7975572069408
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-28.7482406925734,-34.0798822634056,39.9519919042416
"Left_Lateral_4-Posterior_end_of_molar_row",3.12983193026522,-37.0304331705362,41.9078537172099
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-10.3823252080638,-37.5251557149133,33.0195723842304
"Left_Lateral_6-Tip_of_the_postorbital_process",3.07811578299907,-22.615553659897,24.488993070036
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.9760574976958,-29.731882884062,40.6507833280219
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",24.9376803033675,-48.2365142083365,32.7869210264257
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",28.8101327762039,-40.61042597659,48.4202475478458
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-36.9103541887181,-21.6498061052087,49.1159589837674
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",42.8582112458102,-20.3526401458331,64.6808402085337
"Right_Lateral_11-Tip_of_the_jugular_process",57.5601013233524,-28.862724882991,59.8477798930026
"Right_Lateral_14-Tip_of_the_postmandibular_process",5.13798205075789,-5.23282687471031,55.910601484728
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-32.8836053545634,-19.1932484908223,52.3503106513512
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-27.9886004557079,-20.8654939307226,54.076166731764
"Right_Lateral_4-Posterior_end_of_molar_row",3.74902502624723,-24.9887038834121,54.6693219858233
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-9.53698157413452,-14.6524309488236,56.565393504739
"Right_Lateral_6-Tip_of_the_postorbital_process",3.67992427494708,-5.87396374676577,42.9299107962421
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.4694479556167,-23.5861743673089,47.9637032603125
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",26.906378929685,-18.0229846240312,65.6399624106498
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",29.1934757979311,-33.6434993433284,56.6655926904422
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-36.6130731370258,-28.3390938733713,48.5219359992275
"Ventral_10-Posterior_edge_of_the_jugular_foramen",54.729942086406,-30.6134873524997,55.1458362452269
"Ventral_12-Anterior_point_of_the_foramen_magnum",57.8001258880771,-38.8362950958632,51.1757186524079
"Ventral_13-Posterior_point_of_incisive_foramen",-30.4222787772129,-27.7237910354726,45.1850853093362
"Ventral_14-Anterior_edge_of_P4",-13.467372033182,-40.2701900559163,42.3834125070435
"Ventral_15-Posterior_edge_of_P4",-3.09281301902131,-44.3515795427371,41.0822224923485
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",4.35939902140078,-38.2488589573094,42.6900935502522
"Ventral_18-Tip_of_ventral_squamosal_projection",27.8120562826734,-44.025767755535,41.6194696518442
"Ventral_19-Anterior_point_of_external_auditory_meatus",36.1424977131527,-46.5656992289136,34.8595673084198
"Ventral_2-Posterior_point_of_incisive_foramen",-30.1245415952315,-25.4830424806653,48.2504136996348
"Ventral_20-Posterior_edge_of_the_jugular_foramen",54.3332260310288,-40.710466333195,43.3542601002716
"Ventral_3-Anterior_edge_of_P4",-12.4609791458288,-24.5435496333373,58.6311975070265
"Ventral_4-Posterior_edge_of_P4",-1.91498994365329,-24.9513616353661,63.1060951055226
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",5.38227574078554,-25.7979269343964,56.5487798246497
"Ventral_6-Posterior_junction_of_left_and_right_palatine",16.8098087772993,-32.1413129811619,49.0290145730606
"Ventral_8-Tip_of_ventral_squamosal_projection",28.9574654829578,-26.8399432922245,60.7096746838889
"Ventral_9-Anterior_point_of_external_auditory_meatus",38.3254484430846,-21.9501805099957,63.0804375922709
