"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-28.6756466607116,-13.1745780131467,41.3810631701604
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-35.8826026554403,-28.0665328708426,40.7389951398972
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",39.6369468353659,-51.980999491603,40.069310170461
"Left_Lateral_11-Tip_of_the_jugular_process",56.3954574589447,-45.4759717698934,40.5858957549267
"Left_Lateral_14-Tip_of_the_postmandibular_process",0.102436506670967,-45.2456360231512,28.3137687989278
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-33.4224208462245,-33.6174153280993,40.2005127916918
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-28.6643272776144,-34.7602818342868,40.1561395760384
"Left_Lateral_4-Posterior_end_of_molar_row",4.47569423892947,-35.3947624990644,40.3905565342568
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-11.7894553924957,-43.1373097333198,36.032330542144
"Left_Lateral_6-Tip_of_the_postorbital_process",-1.23188815793548,-37.2338671235033,20.4574917099644
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.3461688259988,-33.9151233495797,32.2925010408376
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",25.8815327806365,-47.5172003700809,40.7455556587469
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",29.7884083543705,-34.490617805957,42.9575791176927
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-35.9531064630312,-18.7759582876491,48.5411650088714
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",42.4084596411783,-26.3149834106658,64.6372767584327
"Right_Lateral_11-Tip_of_the_jugular_process",56.8061519640585,-26.9434054174898,59.0170962049603
"Right_Lateral_14-Tip_of_the_postmandibular_process",1.94859259645662,-13.6148597502687,69.3850757454534
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-33.0867722524127,-19.754362638656,52.1488378146314
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-28.2697640010826,-22.149219916692,53.1724973450643
"Right_Lateral_4-Posterior_end_of_molar_row",4.78469648717342,-23.5995957144711,52.5411730821971
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-10.5974246525844,-19.1382663863629,61.3541858343286
"Right_Lateral_6-Tip_of_the_postorbital_process",0.202320652052872,-2.75916505507123,62.0248776755964
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.1112754242776,-15.4598002429259,51.1177240811555
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",26.912059673269,-25.5357671721041,63.3121689164434
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",29.9927283196541,-27.5227513487874,50.7960063806837
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-35.7105854742416,-26.839879367861,45.6188275726825
"Ventral_10-Posterior_edge_of_the_jugular_foramen",54.6593663651883,-32.3208925551967,56.6170741222319
"Ventral_12-Anterior_point_of_the_foramen_magnum",58.9367765114344,-35.8479289506351,49.2519428174649
"Ventral_13-Posterior_point_of_incisive_foramen",-30.7816040391976,-29.2448111413324,45.4709382018453
"Ventral_14-Anterior_edge_of_P4",-12.0858755629385,-34.7566052357998,36.2776991909182
"Ventral_15-Posterior_edge_of_P4",-1.33838719331035,-37.2440541617573,34.0140910889755
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",5.36712145750799,-36.7182332007959,41.3138263107906
"Ventral_18-Tip_of_ventral_squamosal_projection",29.2268936343379,-42.2626170122619,38.9758236944272
"Ventral_19-Anterior_point_of_external_auditory_meatus",36.9296272086631,-48.5378822783874,37.038395727347
"Ventral_2-Posterior_point_of_incisive_foramen",-30.6893545498862,-27.2810040685356,47.6412561946747
"Ventral_20-Posterior_edge_of_the_jugular_foramen",54.0810037896466,-43.1535017998731,45.2413163568457
"Ventral_3-Anterior_edge_of_P4",-11.2833863406749,-18.7502072528938,52.1466960432123
"Ventral_4-Posterior_edge_of_P4",-0.270764652742594,-17.1598826765629,54.7876063923951
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",6.01753026486058,-24.2621929894215,53.8612736161414
"Ventral_6-Posterior_junction_of_left_and_right_palatine",16.7896896569101,-32.321685272376,48.0329442894323
"Ventral_8-Tip_of_ventral_squamosal_projection",29.5655074522381,-22.5954673432342,58.3353994111929
"Ventral_9-Anterior_point_of_external_auditory_meatus",38.3004048867494,-22.3312893588043,63.5308153787833
