"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-35.1590831309875,-16.1872688241796,36.8770031891202
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-43.5835767536419,-29.1021067691565,41.7189156250129
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",45.454786881973,-50.9311288116667,32.5097386920884
"Left_Lateral_11-Tip_of_the_jugular_process",62.5178436958347,-47.9256617285336,38.9238977483454
"Left_Lateral_14-Tip_of_the_postmandibular_process",2.90222976480779,-37.1389610556789,22.0252066815456
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-39.3039000697146,-31.597836288567,36.9285351097035
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-32.3567461145984,-34.3115687896269,38.3552378395511
"Left_Lateral_4-Posterior_end_of_molar_row",2.59154203528239,-37.6284649867225,40.3096456523493
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-13.2043661023938,-37.987829517885,30.210920741295
"Left_Lateral_6-Tip_of_the_postorbital_process",3.62585291288585,-21.6661279925881,20.6121902744494
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",16.0748650736297,-29.6130003569571,38.7340153385101
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",29.1961081268328,-50.559716077662,30.2660284536982
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",33.0786665525621,-43.4617993993269,46.9910394561578
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-44.0044529373939,-21.2670012606587,49.9090782562595
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",46.6404213606334,-19.7261473225191,67.6716641002387
"Right_Lateral_11-Tip_of_the_jugular_process",62.7140708274669,-29.3192085837894,62.8118830628728
"Right_Lateral_14-Tip_of_the_postmandibular_process",3.98266786568624,-2.19895032385851,56.2943795450873
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-38.2599043729358,-15.8858489980728,51.8400943933134
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-32.1688569576161,-18.4953432627188,55.1832633943981
"Right_Lateral_4-Posterior_end_of_molar_row",2.33689926930108,-23.7235882285485,55.2851710972328
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-12.1249591683077,-12.2831330520395,58.3309835897119
"Right_Lateral_6-Tip_of_the_postorbital_process",3.08175139445525,-2.81335135540967,42.1311989678269
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.4233285141742,-22.2157834919428,47.5811051289102
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",30.4924346870106,-16.8104384228755,68.0974552442956
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",33.2356405976498,-34.0657573834764,58.8167366819316
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-42.7777915051326,-28.3588451328284,49.1222244650181
"Ventral_10-Posterior_edge_of_the_jugular_foramen",59.9615312476851,-30.7177161253484,56.0272717768771
"Ventral_12-Anterior_point_of_the_foramen_magnum",64.5378186747477,-38.6334479529621,51.1800516693903
"Ventral_13-Posterior_point_of_incisive_foramen",-35.9243304850423,-27.7637957620402,45.9695364006236
"Ventral_14-Anterior_edge_of_P4",-16.2922049759425,-42.2902903469675,41.7165257997468
"Ventral_15-Posterior_edge_of_P4",-4.43664492589709,-46.031750354479,39.0285062038573
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",3.67622141310613,-39.3811861850153,42.1228511223633
"Ventral_18-Tip_of_ventral_squamosal_projection",33.2384083599136,-45.9447780964564,40.244777829453
"Ventral_19-Anterior_point_of_external_auditory_meatus",40.9907099566806,-49.3769214766062,33.4781090843547
"Ventral_2-Posterior_point_of_incisive_foramen",-36.3029202395724,-25.333477695495,48.9361513430944
"Ventral_20-Posterior_edge_of_the_jugular_foramen",59.1695270623122,-42.4645821076259,42.9573404148413
"Ventral_3-Anterior_edge_of_P4",-15.4134338145453,-23.1589553906804,60.804175044474
"Ventral_4-Posterior_edge_of_P4",-3.53578247876533,-23.0106750596174,64.4700512552318
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",3.93542997552594,-26.7201540026362,58.0197153815183
"Ventral_6-Posterior_junction_of_left_and_right_palatine",18.788770965064,-34.2679657634027,50.2636340583444
"Ventral_8-Tip_of_ventral_squamosal_projection",33.3475278691432,-26.0004904392945,62.8891647974869
"Ventral_9-Anterior_point_of_external_auditory_meatus",42.7873837621723,-20.835512043485,64.880236352344
