"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-31.0320852776606,-18.077546930117,37.5634252429824
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-37.8738013438177,-27.8459168345773,43.9673172740551
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",43.5313461230723,-47.3450303455569,33.1937262576863
"Left_Lateral_11-Tip_of_the_jugular_process",57.099094532636,-44.7830658392992,39.7443762855534
"Left_Lateral_14-Tip_of_the_postmandibular_process",2.14308740092553,-34.527870950312,24.285644280986
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-34.6918973462538,-30.3737975792961,41.4357979731196
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-29.1938528476591,-32.3453408886899,42.269434786774
"Left_Lateral_4-Posterior_end_of_molar_row",2.43478302071953,-37.4853563324371,41.0606794100381
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-11.140932620522,-34.1996697551144,33.3492061912168
"Left_Lateral_6-Tip_of_the_postorbital_process",3.38929484625766,-20.3607492167543,25.1848930925598
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",16.0561230619054,-29.4093645769898,41.9392903298531
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",26.3168818634482,-47.2227076599475,31.7764108061735
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",30.7030801619178,-41.8042542253716,49.8670770930423
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-38.402084541395,-22.6968641471959,48.3767078253953
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",45.0475026449459,-21.5730081913848,63.4339237870986
"Right_Lateral_11-Tip_of_the_jugular_process",58.763058111084,-28.153822337901,59.9556844060652
"Right_Lateral_14-Tip_of_the_postmandibular_process",5.1542480312585,-7.46611637221627,51.8658085569235
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-34.731331284633,-19.8497858352708,50.1783612149974
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-29.5364405516101,-20.7010046808487,53.3091020669983
"Right_Lateral_4-Posterior_end_of_molar_row",3.14512116894596,-25.694272822535,55.1239581599051
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-10.4371129805322,-14.3810272677011,53.764515719345
"Right_Lateral_6-Tip_of_the_postorbital_process",4.18284174334005,-9.84108520453028,38.9281420554452
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.0409118019716,-25.7928352607698,46.7955839620312
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",28.2741810668084,-20.5368846748067,62.3869936282824
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",30.793207599413,-35.1203704775361,58.3567068246807
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-38.5949222704674,-27.5609948033004,47.5272786125416
"Ventral_10-Posterior_edge_of_the_jugular_foramen",55.3280095776477,-28.6091085468838,57.6490939480687
"Ventral_12-Anterior_point_of_the_foramen_magnum",59.0539666541238,-37.2527959666266,51.5917182433786
"Ventral_13-Posterior_point_of_incisive_foramen",-32.0627926355928,-28.0104583230608,44.978009660384
"Ventral_14-Anterior_edge_of_P4",-14.276337270813,-40.2380958892578,41.4827343989649
"Ventral_15-Posterior_edge_of_P4",-3.88887441281316,-43.8154690689616,40.0981017749002
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",3.29874073317143,-38.7444670729813,40.7877837973223
"Ventral_18-Tip_of_ventral_squamosal_projection",28.8338985518767,-45.23207995421,41.458799143127
"Ventral_19-Anterior_point_of_external_auditory_meatus",38.8667605573547,-47.549185938256,35.4128814402588
"Ventral_2-Posterior_point_of_incisive_foramen",-31.9018008965461,-25.2283846217875,48.0453819485242
"Ventral_20-Posterior_edge_of_the_jugular_foramen",54.4979743970786,-40.8988619532137,41.2369702938374
"Ventral_3-Anterior_edge_of_P4",-13.6142348941386,-23.9736624431716,60.4320558143383
"Ventral_4-Posterior_edge_of_P4",-2.93037224342943,-23.8238548232599,63.8369268061669
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",4.16514407451232,-25.3329637898943,57.5583609256712
"Ventral_6-Posterior_junction_of_left_and_right_palatine",16.8163310775335,-33.2268610579019,50.3546485503927
"Ventral_8-Tip_of_ventral_squamosal_projection",30.0121669807358,-27.7075930688088,64.004933282824
"Ventral_9-Anterior_point_of_external_auditory_meatus",40.294602449249,-22.4139804906659,65.9572653910156
