"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-38.0692536776214,-13.7296179420596,35.8636535124817
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-47.2332597506248,-26.2126986113392,41.6689315489562
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",50.2706897777383,-54.0418543780892,31.6515606526248
"Left_Lateral_11-Tip_of_the_jugular_process",65.6771796456812,-49.5024676483001,40.2141645798997
"Left_Lateral_14-Tip_of_the_postmandibular_process",1.28789027644821,-37.1241605949297,18.8493203633871
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-43.4455848172606,-30.9378030561047,36.6477302116458
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-36.3832494536739,-34.7775628530234,38.8866048690109
"Left_Lateral_4-Posterior_end_of_molar_row",0.418856463007995,-38.4385546982289,41.6944991551427
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-14.9453173558325,-36.730478160681,29.4693780026152
"Left_Lateral_6-Tip_of_the_postorbital_process",1.01892423423808,-19.8321562403965,17.8110686724247
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",17.8040395498509,-28.5183925072408,38.065007094172
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",31.2031472918223,-54.3192451028115,30.3157468029713
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",35.2811060440878,-43.7295844124879,50.0785662877465
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-46.8187326390515,-20.4602797821849,49.2236669709006
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",51.381094067398,-15.7438699462304,71.7025501988984
"Right_Lateral_11-Tip_of_the_jugular_process",67.6187783734773,-27.5031831046879,61.1652838695599
"Right_Lateral_14-Tip_of_the_postmandibular_process",1.64130950866289,-0.602379702621455,58.4366041993654
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-42.9179587167078,-16.6552357902978,53.3175353779037
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-35.7304033436027,-19.5825760152713,56.0930393733233
"Right_Lateral_4-Posterior_end_of_molar_row",0.804220886025957,-24.3033779627748,56.1435229657683
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-14.1632996630203,-11.2701970052003,58.541777255383
"Right_Lateral_6-Tip_of_the_postorbital_process",-0.0445301120803574,0.58790130064741,41.4925799464518
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",17.1736375152294,-20.2489148093175,44.8780870091371
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",32.9174996874541,-18.0643036968737,70.857155230468
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",35.9505185296106,-35.1468288045432,56.952098444344
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-47.0484039671861,-27.0457621146341,48.126479725336
"Ventral_10-Posterior_edge_of_the_jugular_foramen",64.533986443723,-31.0758898010473,55.6426787911189
"Ventral_12-Anterior_point_of_the_foramen_magnum",70.6176004139726,-37.8908256535065,50.8752479403313
"Ventral_13-Posterior_point_of_incisive_foramen",-38.9655308696074,-27.9409760505692,45.0990585925467
"Ventral_14-Anterior_edge_of_P4",-18.3243634402378,-42.7664168466399,41.1387414915522
"Ventral_15-Posterior_edge_of_P4",-6.29556911122213,-47.9685466676888,39.6392472702868
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",2.27002898922184,-39.6707429080808,42.0476038323433
"Ventral_18-Tip_of_ventral_squamosal_projection",37.1522321632279,-49.0101495377987,41.9059139393614
"Ventral_19-Anterior_point_of_external_auditory_meatus",45.114441981493,-52.4356133153058,31.6177479574136
"Ventral_2-Posterior_point_of_incisive_foramen",-38.4606796331576,-24.4818098525377,47.7200977562732
"Ventral_20-Posterior_edge_of_the_jugular_foramen",64.8413024197776,-42.9912014652668,42.9715136740181
"Ventral_3-Anterior_edge_of_P4",-17.3318285125492,-23.4323104320007,60.7199803475203
"Ventral_4-Posterior_edge_of_P4",-4.77331154220111,-22.8500192996589,65.0420569076038
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",2.32192154140019,-26.1278792587663,57.5217829959103
"Ventral_6-Posterior_junction_of_left_and_right_palatine",20.021966533587,-34.7671423848169,49.572035809221
"Ventral_8-Tip_of_ventral_squamosal_projection",36.302090481216,-29.8317736222668,64.4982392168299
"Ventral_9-Anterior_point_of_external_auditory_meatus",46.2602986013337,-20.0316854837671,66.3671524206757
