"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-28.6675004307385,-18.802764483209,39.0275129659837
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-36.606945486583,-28.9322051430524,41.0286600385375
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",40.6773419259123,-48.7218798299818,32.6656873199249
"Left_Lateral_11-Tip_of_the_jugular_process",55.8372753789225,-45.2779828932558,39.5838786352986
"Left_Lateral_14-Tip_of_the_postmandibular_process",2.45853404190201,-36.6168537709547,23.597251677924
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-32.4729454953539,-31.1752722738971,36.5886030244837
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-27.9864678615013,-33.0041964091237,39.9352796031387
"Left_Lateral_4-Posterior_end_of_molar_row",3.84772051195156,-37.4400402425861,42.4792798098328
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-10.4386495525587,-36.6011076994269,32.5657835153511
"Left_Lateral_6-Tip_of_the_postorbital_process",2.92922445497952,-22.8868667401286,25.1214085537996
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.7250242273672,-30.9398416411898,41.0124209424283
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",24.8415424956297,-48.0005176546864,31.6185782557034
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",29.4685632076626,-41.9807889243535,48.1523117356696
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-36.4384410857622,-20.5627022260108,49.3680923650778
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",42.5654949223066,-19.7504443070612,64.4187987291634
"Right_Lateral_11-Tip_of_the_jugular_process",56.7306524336131,-26.7750989160551,59.7187782306324
"Right_Lateral_14-Tip_of_the_postmandibular_process",4.11206933898479,-7.42042979463517,56.344293049203
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-32.3932606171435,-18.7275635587961,52.3346426442483
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-27.5344115199749,-20.752016762442,54.0240957530891
"Right_Lateral_4-Posterior_end_of_molar_row",4.36258678794947,-25.8078265782196,55.8271430974431
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-9.59430258873575,-14.3638856275652,57.4163720116788
"Right_Lateral_6-Tip_of_the_postorbital_process",3.74011363479969,-7.59110008184905,42.9675535129978
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.7476110241491,-23.8305949927334,48.7865458048135
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",26.5678918952455,-18.3744914680092,64.9613897251511
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",30.2521386136701,-33.9637526660984,57.0970176925061
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-36.8236190079495,-27.1266721318954,46.9408847212633
"Ventral_10-Posterior_edge_of_the_jugular_foramen",53.3745949714811,-29.9018776883334,54.8617830307477
"Ventral_12-Anterior_point_of_the_foramen_magnum",56.3957590258194,-37.5397575317955,50.8685604476313
"Ventral_13-Posterior_point_of_incisive_foramen",-30.6002661516692,-27.7212860731181,44.9536011819979
"Ventral_14-Anterior_edge_of_P4",-13.1211472964214,-40.1239789586481,42.2499569655968
"Ventral_15-Posterior_edge_of_P4",-2.82440513317808,-43.9545633236515,40.2738677468338
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",4.38828932050986,-38.9401210454142,42.6311817958314
"Ventral_18-Tip_of_ventral_squamosal_projection",27.8614259209343,-45.4072683966409,40.6954731336464
"Ventral_19-Anterior_point_of_external_auditory_meatus",37.3967115295065,-47.4649885341609,35.7769131618855
"Ventral_2-Posterior_point_of_incisive_foramen",-30.5302936061829,-25.5507794759896,47.8821208835033
"Ventral_20-Posterior_edge_of_the_jugular_foramen",52.9734861559705,-40.3213766903941,42.7561543166692
"Ventral_3-Anterior_edge_of_P4",-12.5269205315682,-23.8295584998393,59.182111483882
"Ventral_4-Posterior_edge_of_P4",-1.84427336090064,-23.8355974762514,62.9346784378443
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",4.85926192510295,-25.7980086441804,57.0595779221927
"Ventral_6-Posterior_junction_of_left_and_right_palatine",17.1220955759012,-33.8106407677198,50.0356848473693
"Ventral_8-Tip_of_ventral_squamosal_projection",28.7221861791366,-26.4487282282539,61.5080698235173
"Ventral_9-Anterior_point_of_external_auditory_meatus",38.3797390408627,-21.1311380677937,63.2737126684322
