"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-35.429403047799,-15.6578657478295,36.0179251704294
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-44.4717083335265,-27.8828273967695,41.0207196775229
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",48.0292271911019,-51.8232834603947,30.0760914276659
"Left_Lateral_11-Tip_of_the_jugular_process",63.5586753505878,-47.7355773744413,39.392946908362
"Left_Lateral_14-Tip_of_the_postmandibular_process",1.1307166600794,-36.474294524712,17.166670008077
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-41.7473634854015,-31.9280690616313,36.5713163881418
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-35.7105998520502,-34.6585757324439,38.7635059252919
"Left_Lateral_4-Posterior_end_of_molar_row",1.29154365011678,-38.2235976504793,42.0320429451792
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-13.7445598653702,-37.1387346414685,30.9783774360604
"Left_Lateral_6-Tip_of_the_postorbital_process",1.84102235035681,-21.5704438992401,20.7432162968805
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",17.8051117165037,-29.5571664027043,39.4875026452056
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",30.3433647964998,-51.5198346354026,30.3520373410847
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",33.265367685857,-43.1747373264127,49.4421532482173
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-44.4465711557848,-21.0156606209762,49.2061734867978
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",50.7605780376813,-18.6617258984969,67.2545527124131
"Right_Lateral_11-Tip_of_the_jugular_process",64.8116578406173,-28.41213627912,62.0077974978217
"Right_Lateral_14-Tip_of_the_postmandibular_process",3.77193015229079,-0.670178190812528,55.6368684045588
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-41.2916681768408,-17.7329541713946,53.6581715897086
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-35.2634438430779,-20.1585131381969,56.6168902815818
"Right_Lateral_4-Posterior_end_of_molar_row",1.15458054138822,-24.2347951824972,57.2838762736653
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-12.9191994273815,-12.2139078842582,58.0166540192855
"Right_Lateral_6-Tip_of_the_postorbital_process",2.4810016120557,-2.02613639436277,41.6829952362185
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",17.6152169116219,-22.5634854433804,47.3270701772865
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",33.0122908993235,-16.0793454998853,69.822016023142
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",33.9546718580703,-34.9812176120699,59.218673892828
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-44.6797947348808,-27.3122371738387,47.8376400259675
"Ventral_10-Posterior_edge_of_the_jugular_foramen",62.6724297168465,-31.6291640108043,55.6489846483305
"Ventral_12-Anterior_point_of_the_foramen_magnum",66.8965442039427,-39.9684868304299,51.5475406664049
"Ventral_13-Posterior_point_of_incisive_foramen",-37.457340204884,-27.4824096191835,44.5993013892796
"Ventral_14-Anterior_edge_of_P4",-17.1684841986921,-41.4169426645178,41.8239416675352
"Ventral_15-Posterior_edge_of_P4",-5.69885085810578,-45.0933172441809,39.7496601375784
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",2.58187845687787,-39.6066061601642,42.1925687119087
"Ventral_18-Tip_of_ventral_squamosal_projection",33.6831992068448,-47.4790719206177,40.7348223688208
"Ventral_19-Anterior_point_of_external_auditory_meatus",43.4980604637913,-49.5551705846152,33.2125135846961
"Ventral_2-Posterior_point_of_incisive_foramen",-37.5437522897483,-24.9360396715138,47.8709212299029
"Ventral_20-Posterior_edge_of_the_jugular_foramen",61.5112923549631,-42.6234149834556,44.3450035905008
"Ventral_3-Anterior_edge_of_P4",-16.4936056641478,-24.0510004142872,60.3386396684809
"Ventral_4-Posterior_edge_of_P4",-4.75017576796575,-23.194120743222,64.1747588301672
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",2.73526574695759,-25.5880543715151,57.249813372813
"Ventral_6-Posterior_junction_of_left_and_right_palatine",17.9972384918236,-34.0592798540025,50.4129339098986
"Ventral_8-Tip_of_ventral_squamosal_projection",35.7223356649842,-27.1509138988301,63.5003631253585
"Ventral_9-Anterior_point_of_external_auditory_meatus",45.6248041585224,-19.9652719048417,65.5100593218549
