"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-35.781434407511,-13.1827850580948,36.3826914558074
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-44.8152842023189,-27.2213754471401,42.2370507018532
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",46.8076115190251,-54.8754589693217,27.5803010353925
"Left_Lateral_11-Tip_of_the_jugular_process",63.2610538517391,-45.2980847046186,44.0300951775783
"Left_Lateral_14-Tip_of_the_postmandibular_process",-1.00993031603107,-37.8354587872512,17.2689507702107
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-41.675907342744,-31.5328393704016,37.6239329373458
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-35.2456214014716,-34.9789461413179,39.1303183716093
"Left_Lateral_4-Posterior_end_of_molar_row",1.19004137945362,-39.0058256722585,40.0042336482796
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-14.8318380407382,-37.4274190905089,29.0181491247726
"Left_Lateral_6-Tip_of_the_postorbital_process",-0.63649175468278,-22.0939562952315,17.034195268752
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.9219170073466,-29.5132491754131,35.0342127512588
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",30.1165251175732,-54.2354261195257,29.2766781613083
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",36.056591025625,-42.9711101540702,46.7518455196374
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-44.2257947092996,-20.377257671302,49.2874049427429
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",49.2425038573859,-17.8427409332109,69.0545623036049
"Right_Lateral_11-Tip_of_the_jugular_process",63.7635359963446,-27.3137410487747,63.3940922989711
"Right_Lateral_14-Tip_of_the_postmandibular_process",1.94068854046429,-1.10796819927625,60.4016771998845
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-39.841869212371,-15.6622308218958,54.2011663380561
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-33.7408692695111,-18.7595124156747,55.6468935391492
"Right_Lateral_4-Posterior_end_of_molar_row",2.27517053415291,-24.5535903548365,56.3443680868279
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-12.8245734488696,-11.7396319119777,57.4129852848278
"Right_Lateral_6-Tip_of_the_postorbital_process",2.65341052331621,-0.578250051955788,43.9685539204417
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",16.9258446293898,-19.9913583228137,46.1674606102286
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",32.4224358332053,-18.0786217480506,70.3364049212644
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",36.3051766035889,-33.8173396847233,56.6749237745658
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-44.6795882596749,-28.0759146798193,48.1623170041724
"Ventral_10-Posterior_edge_of_the_jugular_foramen",62.0447784999608,-29.4821614177114,55.8373168443617
"Ventral_12-Anterior_point_of_the_foramen_magnum",64.8058010961361,-39.1474135354034,54.3150113806428
"Ventral_13-Posterior_point_of_incisive_foramen",-37.3095394588425,-28.6641206574087,45.3099786864655
"Ventral_14-Anterior_edge_of_P4",-16.6197875545791,-41.9138750804551,41.880794343987
"Ventral_15-Posterior_edge_of_P4",-5.56954253118403,-46.5181222308037,39.9636242401324
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",2.84504568633195,-40.6928990956429,41.7183475207744
"Ventral_18-Tip_of_ventral_squamosal_projection",35.5679447917004,-49.3318001286197,41.1123885722012
"Ventral_19-Anterior_point_of_external_auditory_meatus",43.516719721646,-51.8148633328362,32.8157150983939
"Ventral_2-Posterior_point_of_incisive_foramen",-36.5357629229477,-25.7212459397989,48.2548689499437
"Ventral_20-Posterior_edge_of_the_jugular_foramen",61.1221725121081,-42.9890053232493,43.9894052387576
"Ventral_3-Anterior_edge_of_P4",-15.6951880454645,-23.4900118078391,59.7566749151522
"Ventral_4-Posterior_edge_of_P4",-3.82197907241063,-23.3982132847332,64.9543929613291
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",3.71937762640673,-25.7006648390835,57.6366533490037
"Ventral_6-Posterior_junction_of_left_and_right_palatine",19.8428386648166,-33.754449094658,49.521905330976
"Ventral_8-Tip_of_ventral_squamosal_projection",36.5643681621075,-27.6949609893331,63.8501885142962
"Ventral_9-Anterior_point_of_external_auditory_meatus",44.8829335848765,-18.82266663236,67.1829801679643
