"","V1","V2","V3"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-28.4436454275414,-18.1538681116255,38.8054631805832
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-34.8743585380998,-29.1566568338052,42.2342778051587
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",39.9422886967494,-47.4962952793443,33.814334549164
"Left_Lateral_11-Tip_of_the_jugular_process",52.8951317850853,-45.5288368095,40.9260607846272
"Left_Lateral_14-Tip_of_the_postmandibular_process",3.86274292421154,-36.0940619299186,24.7256050937962
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-31.4209472472352,-31.537933658474,39.3775959721592
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-26.721494125568,-33.6596035371551,40.9954106386098
"Left_Lateral_4-Posterior_end_of_molar_row",3.06048672800149,-37.2083032568896,43.3581219519148
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-10.0003349701708,-36.6838365379753,33.2933394101797
"Left_Lateral_6-Tip_of_the_postorbital_process",3.1054805302178,-22.6653508258494,25.673964445012
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",14.6920408820853,-29.7201531740042,41.0360182346139
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",23.9271217295925,-46.6545492773327,32.775391354854
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",28.6293450980838,-41.5906874057887,46.8540164724302
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-34.5312294558896,-22.8136853146932,47.4322959124798
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",41.8009768447095,-21.0050402807498,63.6539264760564
"Right_Lateral_11-Tip_of_the_jugular_process",54.0826561233554,-28.2281282151496,60.5774335310225
"Right_Lateral_14-Tip_of_the_postmandibular_process",4.26607138340588,-6.67098039384553,58.0828840189928
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-30.7475873468044,-20.4331053843874,50.230522402119
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-26.1968711872383,-20.4114781866988,52.833224852428
"Right_Lateral_4-Posterior_end_of_molar_row",4.06629730872427,-25.2898823929201,54.7184421075847
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-8.6907725656161,-14.3444406871243,55.1363194875907
"Right_Lateral_6-Tip_of_the_postorbital_process",4.56704678135267,-6.77923864907565,43.100191222966
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.1725085956498,-23.4369446846782,46.8959837028614
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",25.6260524082934,-18.6809750542267,63.0654283140493
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",28.9303088603958,-32.5348734683307,56.5798726483275
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-34.7458480820181,-27.8157206982111,48.0415654943218
"Ventral_10-Posterior_edge_of_the_jugular_foramen",52.7498676710065,-30.4728300107419,54.4776303565082
"Ventral_12-Anterior_point_of_the_foramen_magnum",54.9576904249802,-37.5986608030245,50.5543722706875
"Ventral_13-Posterior_point_of_incisive_foramen",-28.851954702889,-27.972564133107,44.8834828052626
"Ventral_14-Anterior_edge_of_P4",-12.7725206214811,-39.715472110018,42.5069180050667
"Ventral_15-Posterior_edge_of_P4",-3.12099298895517,-44.6497347312936,41.9960996235982
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",4.28643995191815,-38.665074141608,42.8670528199154
"Ventral_18-Tip_of_ventral_squamosal_projection",26.8116852203358,-44.1802417063833,40.5438577982888
"Ventral_19-Anterior_point_of_external_auditory_meatus",35.9790393145653,-46.5239015314401,35.3494958816716
"Ventral_2-Posterior_point_of_incisive_foramen",-28.6487128788627,-25.4059093127701,47.9549016045049
"Ventral_20-Posterior_edge_of_the_jugular_foramen",51.719945236425,-40.2584086204024,42.8039968286066
"Ventral_3-Anterior_edge_of_P4",-11.7753302359891,-24.8219443218064,59.1553247346062
"Ventral_4-Posterior_edge_of_P4",-1.5740006344612,-24.4779987238912,62.9730482600405
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",5.14553958543637,-26.5484349000367,57.2017054722712
"Ventral_6-Posterior_junction_of_left_and_right_palatine",16.6948384728648,-32.5560866309617,48.8086965438872
"Ventral_8-Tip_of_ventral_squamosal_projection",27.582588620283,-26.9745195331259,61.4626151525279
"Ventral_9-Anterior_point_of_external_auditory_meatus",37.4958946451403,-21.7901549610365,62.7688230415784
