"","X","Y","Z"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",73.3663700073517,-63.0835635275773,-3.07555760495152
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",78.9073108211784,-75.2850842971676,11.7477919012037
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",13.493450498354,-33.4107772186444,38.6772343051386
"Left_Lateral_11-Tip_of_the_jugular_process",-1.00679284955114,-32.2860458285734,38.6355457820191
"Left_Lateral_14-Tip_of_the_postmandibular_process",52.5082021589277,-43.8612465738798,28.8894625572746
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",77.9166138731853,-70.9962716117438,14.3198555480583
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",74.8648327548653,-68.4901673935275,16.420307870783
"Left_Lateral_4-Posterior_end_of_molar_row",45.6008643683977,-57.6330765438742,24.103828025904
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",62.2644624430786,-54.7985602572673,22.2969643774446
"Left_Lateral_6-Tip_of_the_postorbital_process",52.8999816126946,-42.6157659456123,21.4065266973165
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",34.1630909385355,-53.452725637357,27.088938799588
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",30.2584955300562,-36.9302782948863,32.4077017122584
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",19.9146358900269,-50.8302664199888,30.0712535666819
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",74.128162513896,-75.6937493837816,-6.684821107762
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",-4.27306057664909,-60.2584473102861,14.492467126368
"Right_Lateral_11-Tip_of_the_jugular_process",-12.7956128980651,-51.6161155104827,24.9704571261618
"Right_Lateral_14-Tip_of_the_postmandibular_process",30.2037289215428,-63.5911779993676,-10.6977244960714
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",69.4465406645173,-76.3880086602572,-8.57545950219461
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",64.8772801726778,-76.7768131516324,-5.83051843932739
"Right_Lateral_4-Posterior_end_of_molar_row",36.7524575939959,-66.8113805139325,7.57057398336565
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",45.0645555280236,-73.04378296508,-6.81898084756619
"Right_Lateral_6-Tip_of_the_postorbital_process",37.2051205132921,-51.9085503881703,-10.5053499040854
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",27.832128511633,-54.6534325711064,8.08248707468181
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",9.86063607714075,-66.0786626824843,7.61650622295739
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",14.3948921037111,-58.5653922514486,23.6458493398869
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",77.1537725889212,-74.3568088835764,0.264105127997652
"Ventral_10-Posterior_edge_of_the_jugular_foramen",-8.04886280811063,-47.3885687790274,26.7417993175805
"Ventral_12-Anterior_point_of_the_foramen_magnum",-7.68678109638618,-42.7461585812026,33.348825319225
"Ventral_13-Posterior_point_of_incisive_foramen",72.3865858268654,-69.446326663748,1.11141052818403
"Ventral_14-Anterior_edge_of_P4",61.0590374262287,-60.4510519229765,16.6349103940126
"Ventral_15-Posterior_edge_of_P4",53.4878428650837,-55.7780014971371,23.028674067615
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",44.6046098732796,-55.4404246553687,19.8019534405314
"Ventral_18-Tip_of_ventral_squamosal_projection",23.7154727844991,-43.8841389422732,32.1779738527262
"Ventral_19-Anterior_point_of_external_auditory_meatus",17.6507115220134,-34.8861246643702,35.3113840721833
"Ventral_2-Posterior_point_of_incisive_foramen",70.6211034166174,-72.026741398737,-1.04958221629376
"Ventral_20-Posterior_edge_of_the_jugular_foramen",-1.39023242686365,-37.5906367919906,35.5348249999268
"Ventral_3-Anterior_edge_of_P4",50.4196335725705,-75.5119608925832,3.80960965546623
"Ventral_4-Posterior_edge_of_P4",39.9818986975179,-75.6605827951436,7.04198435467316
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",35.9275465946574,-67.4738318638289,9.32436426229104
"Ventral_6-Posterior_junction_of_left_and_right_palatine",29.3078765538056,-56.3283455174114,18.2955142915711
"Ventral_8-Tip_of_ventral_squamosal_projection",11.0923809853582,-62.3379437589721,16.8331131466245
"Ventral_9-Anterior_point_of_external_auditory_meatus",0.797893003043762,-60.7735626943843,15.1757095505919
