"","X","Y","Z"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",70.9767397186513,-7.71401505765312,13.4068711924438
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",77.0077950810261,-6.42433114870335,30.6524824569947
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",-22.5092790118019,-2.62195006809815,38.9913734369761
"Left_Lateral_11-Tip_of_the_jugular_process",-35.6643415578382,-16.9719052127353,35.8290365001359
"Left_Lateral_14-Tip_of_the_postmandibular_process",29.1798415830074,10.6067136549016,26.2653668663107
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",71.8208602194564,-2.55989715237938,30.7089740526071
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",64.9958418194102,-3.92134456770938,33.6801698439076
"Left_Lateral_4-Posterior_end_of_molar_row",27.8711878497073,-12.1675037819388,34.6510780036611
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",44.1384865340652,1.60272062564663,31.6704408112602
"Left_Lateral_6-Tip_of_the_postorbital_process",28.7822365972007,5.92765269884359,12.0500881968199
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",15.036995481379,-13.7017812511106,22.8874604689075
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",-3.90301479728632,-0.933124906803812,41.4561022550803
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",-5.15623209483645,-22.2812063698399,36.2235985537702
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",78.6384423359723,-18.6772249478138,25.0893385875562
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",-15.7567034900876,-50.4310862567667,16.8523118515945
"Right_Lateral_11-Tip_of_the_jugular_process",-32.3213067408174,-44.1698501154008,24.1118187048085
"Right_Lateral_14-Tip_of_the_postmandibular_process",31.1703621725129,-35.3604314124324,5.82174467291549
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",73.986428852899,-22.5215644140452,20.9002624256401
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",67.5645441376277,-25.9820572152813,22.9819443786444
"Right_Lateral_4-Posterior_end_of_molar_row",31.0672483791042,-30.7292508690904,26.2387825806288
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",48.9434994685182,-32.5959929897353,15.3429617628966
"Right_Lateral_6-Tip_of_the_postorbital_process",31.3272531316249,-21.9036417518642,-0.0840436565217084
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",16.0484647965021,-23.4764528833274,20.0828030040539
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",3.24115675364315,-48.9345859648914,18.3916579144278
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",-3.45327650398811,-34.0170455292062,32.8005204855877
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",77.5471112237052,-15.3959383403549,31.8536884179298
"Ventral_10-Posterior_edge_of_the_jugular_foramen",-30.9774998015567,-36.2973426721292,24.4515882505672
"Ventral_12-Anterior_point_of_the_foramen_magnum",-36.8044050280423,-30.0680099876375,29.7487865551716
"Ventral_13-Posterior_point_of_incisive_foramen",70.1156535037831,-12.5754317888489,30.0546862793593
"Ventral_14-Anterior_edge_of_P4",46.9645966918636,-8.64380133736475,40.9169054126704
"Ventral_15-Posterior_edge_of_P4",34.0516675015171,-6.46024076821155,43.5014837906742
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",26.3474576929593,-11.0428055325946,36.3420201209547
"Ventral_18-Tip_of_ventral_squamosal_projection",-6.67796445418766,-13.2600016672071,40.2897828537304
"Ventral_19-Anterior_point_of_external_auditory_meatus",-16.6205727096086,-5.8526445076709,38.4884178997795
"Ventral_2-Posterior_point_of_incisive_foramen",70.5375891281217,-17.1163119828454,28.3831327162748
"Ventral_20-Posterior_edge_of_the_jugular_foramen",-33.4950278182778,-20.8764799633028,31.8906790522918
"Ventral_3-Anterior_edge_of_P4",50.8568648969504,-33.1025640795421,30.3799508493993
"Ventral_4-Posterior_edge_of_P4",39.1120565573456,-38.894104940219,29.1570239859042
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",29.5885153471271,-31.9862082529393,27.1555306866019
"Ventral_6-Posterior_junction_of_left_and_right_palatine",11.307627175168,-23.7299433565648,30.967451439534
"Ventral_8-Tip_of_ventral_squamosal_projection",-2.92674088529016,-41.3809841249569,27.250701215513
"Ventral_9-Anterior_point_of_external_auditory_meatus",-10.1424282897124,-47.3640271011558,19.8821042148314
