"","X","Y","Z"
"Lateral_13-Anterior_extent_of_the_nasal-premaxilla_suture",-19.9306671994421,-40.1390745211767,16.5730709353543
"Left_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-28.3508469595732,-38.3817408015732,3.74141275082442
"Left_Lateral_10-Posterior_point_of_the_external_auditory_meatus",51.3044403068665,-26.7958448189056,-15.7887508131705
"Left_Lateral_11-Tip_of_the_jugular_process",65.7629553091292,-35.7786951035255,-18.0717527799642
"Left_Lateral_14-Tip_of_the_postmandibular_process",13.8307846074399,-21.5241461298855,2.99005029762735
"Left_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-24.5690295236526,-34.1141146842391,3.2133361083946
"Left_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-19.5233331100925,-35.7066216841337,-0.123921140963532
"Left_Lateral_4-Posterior_end_of_molar_row",12.5975574745259,-36.6886546206083,-6.39050715298387
"Left_Lateral_5-Midpoint_of_the_infraorbital_foramen",-1.96291315226208,-27.8742737290391,-0.502358351967489
"Left_Lateral_6-Tip_of_the_postorbital_process",12.9365134138875,-27.3723024004187,14.1715322008056
"Left_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",25.5541855382875,-39.2076900816214,-0.605763482436535
"Left_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",36.0396424671769,-25.8947023540764,-12.8535131818675
"Left_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",38.4204207660466,-42.4432432778645,-14.5137570943908
"Right_Lateral_1-Intersection_of_anterior_margin_of_I3_with_premaxilla",-28.4944929791122,-47.0867469985537,8.11152263806061
"Right_Lateral_10-Posterior_point_of_the_external_auditory_meatus",50.9122717576549,-67.2528132216108,-3.44047234313416
"Right_Lateral_11-Tip_of_the_jugular_process",65.9235660200904,-61.4413166668372,-9.04665133616388
"Right_Lateral_14-Tip_of_the_postmandibular_process",13.9345632240395,-62.6650651443227,15.0258466864651
"Right_Lateral_2-Intersection_of_anterior_margin_of_canine_with_maxilla",-24.5796684556562,-50.7229334787009,8.83571963808988
"Right_Lateral_3-Intersection_of_posterior_margin_of_canine_with_maxilla",-19.9267012506905,-51.867875830384,6.11576928824764
"Right_Lateral_4-Posterior_end_of_molar_row",12.1263773899599,-53.342164141464,-0.16018979290301
"Right_Lateral_5-Midpoint_of_the_infraorbital_foramen",-1.8001160118368,-58.6561812059872,8.96355402011456
"Right_Lateral_6-Tip_of_the_postorbital_process",13.1056186064429,-52.0066464574814,22.3516633758832
"Right_Lateral_7-Posterior_point_of_the_optic_foramen_on_the_orbitosphenoid",25.3258317738555,-48.4654317148763,3.06545420381079
"Right_Lateral_8-Tip_of_the_most_anterior_of_2_ventral_squamosal_projections",35.8356842367286,-66.1801000562422,-0.0126225243018483
"Right_Lateral_9-Tip_of_the_hamulus_on_the_pterygoid_process",38.2528729530844,-53.8441799489813,-10.4108974041121
"Ventral_1-Juncture_between_incisors_on_the_premaxilla",-28.9715513615862,-43.4974622533479,1.96454310372349
"Ventral_10-Posterior_edge_of_the_jugular_foramen",63.454603997731,-55.2896812139778,-10.4703409014878
"Ventral_12-Anterior_point_of_the_foramen_magnum",66.5801366792314,-49.4322572963038,-15.4112141686317
"Ventral_13-Posterior_point_of_incisive_foramen",-21.9062651283225,-41.0747406659301,2.87921143233984
"Ventral_14-Anterior_edge_of_P4",-4.94251170936933,-33.8562984274189,-7.51169894334203
"Ventral_15-Posterior_edge_of_P4",5.88362560056735,-31.3755379554097,-10.9915397667612
"Ventral_16-Point_of_max_external_curvature_of_M1_at_protocone",13.3421202948145,-36.106438080654,-7.70961731329373
"Ventral_18-Tip_of_ventral_squamosal_projection",38.2386577500267,-35.56194006736,-14.4036520538974
"Ventral_19-Anterior_point_of_external_auditory_meatus",47.2498710635205,-29.1036968195192,-15.4603180899362
"Ventral_2-Posterior_point_of_incisive_foramen",-21.9145169415384,-44.7386214629283,3.82186437572898
"Ventral_20-Posterior_edge_of_the_jugular_foramen",63.4725013643437,-41.0462409816689,-14.3744993707807
"Ventral_3-Anterior_edge_of_P4",-5.18677345838641,-56.5129800502955,-0.923243259222772
"Ventral_4-Posterior_edge_of_P4",5.57252369496769,-60.605726717416,-2.25671483457074
"Ventral_5-Point_of_max_external_curvature_of_M1_at_protocone",13.0454094951502,-53.9771661930415,-1.72714857811638
"Ventral_6-Posterior_junction_of_left_and_right_palatine",24.3100701498217,-46.0795765974617,-6.12754829887945
"Ventral_8-Tip_of_ventral_squamosal_projection",38.126335415585,-59.9107200562769,-6.78194076057787
"Ventral_9-Anterior_point_of_external_auditory_meatus",46.9011996596765,-64.8343171361856,-4.04902664880365
